trash_size,types,img_name
CAR NEEDED,['CONSTRUCTION'],img_0_0.jpg
CAR NEEDED,['ORGANIC'],img_0_1.jpg
CAR NEEDED,['HOUSEHOLD'],img_0_2.jpg
FITS IN A WHEELBARROW,"['PLASTIC', 'ORGANIC']",img_0_3.jpg
CAR NEEDED,['HOUSEHOLD'],img_0_4.jpg
FITS IN A WHEELBARROW,['ORGANIC'],img_0_5.jpg
FITS IN A BAG,['HOUSEHOLD'],img_0_6.jpg
FITS IN A BAG,['HOUSEHOLD'],img_0_7.jpg
FITS IN A WHEELBARROW,['HOUSEHOLD'],img_0_8.jpg
FITS IN A WHEELBARROW,['PLASTIC'],img_0_9.jpg
FITS IN A BAG,['HOUSEHOLD'],img_1_0.jpg
FITS IN A WHEELBARROW,['ORGANIC'],img_1_1.jpg
CAR NEEDED,"['PLASTIC', 'METAL']",img_1_2.jpg
CAR NEEDED,['PLASTIC'],img_1_3.jpg
FITS IN A BAG,['HOUSEHOLD'],img_1_4.jpg
FITS IN A WHEELBARROW,"['PLASTIC', 'HOUSEHOLD', 'METAL', 'CONSTRUCTION', 'GLASS']",img_1_5.jpg
FITS IN A WHEELBARROW,"['PLASTIC', 'HOUSEHOLD']",img_1_6.jpg
FITS IN A BAG,['PLASTIC'],img_1_7.jpg
CAR NEEDED,['CONSTRUCTION'],img_1_8.jpg
CAR NEEDED,"['PLASTIC', 'HOUSEHOLD', 'AUTOMOTIVE', 'DANGEROUS', 'ELECTRONIC', 'GLASS']",img_1_9.jpg
FITS IN A WHEELBARROW,['PLASTIC'],img_2_0.jpg
CAR NEEDED,['CONSTRUCTION'],img_2_1.jpg
FITS IN A WHEELBARROW,['PLASTIC'],img_2_2.jpg
FITS IN A WHEELBARROW,"['PLASTIC', 'METAL']",img_2_3.jpg
CAR NEEDED,"['PLASTIC', 'DANGEROUS', 'METAL']",img_2_4.jpg
FITS IN A WHEELBARROW,"['PLASTIC', 'CONSTRUCTION', 'GLASS']",img_2_5.jpg
FITS IN A WHEELBARROW,['PLASTIC'],img_2_6.jpg
FITS IN A WHEELBARROW,['PLASTIC'],img_2_7.jpg
CAR NEEDED,"['PLASTIC', 'METAL']",img_2_8.jpg
FITS IN A WHEELBARROW,['PLASTIC'],img_2_9.jpg
CAR NEEDED,"['PLASTIC', 'METAL']",img_3_0.jpg
CAR NEEDED,"['PLASTIC', 'HOUSEHOLD', 'AUTOMOTIVE', 'LIQUID', 'DANGEROUS', 'METAL']",img_3_1.jpg
FITS IN A WHEELBARROW,['PLASTIC'],img_3_2.jpg
CAR NEEDED,['PLASTIC'],img_3_3.jpg
CAR NEEDED,['PLASTIC'],img_3_4.jpg
FITS IN A WHEELBARROW,['PLASTIC'],img_3_5.jpg
FITS IN A BAG,['PLASTIC'],img_3_6.jpg
FITS IN A WHEELBARROW,['PLASTIC'],img_3_7.jpg
FITS IN A WHEELBARROW,['PLASTIC'],img_3_8.jpg
FITS IN A BAG,['PLASTIC'],img_3_9.jpg
FITS IN A BAG,"['PLASTIC', 'CONSTRUCTION']",img_4_0.jpg
CAR NEEDED,"['PLASTIC', 'METAL', 'GLASS']",img_4_1.jpg
FITS IN A BAG,['PLASTIC'],img_4_2.jpg
FITS IN A BAG,['PLASTIC'],img_4_3.jpg
FITS IN A BAG,['PLASTIC'],img_4_4.jpg
FITS IN A BAG,['PLASTIC'],img_4_5.jpg
CAR NEEDED,['PLASTIC'],img_4_6.jpg
FITS IN A WHEELBARROW,['PLASTIC'],img_4_7.jpg
FITS IN A WHEELBARROW,['PLASTIC'],img_4_8.jpg
FITS IN A WHEELBARROW,['METAL'],img_4_9.jpg
FITS IN A BAG,['PLASTIC'],img_5_0.jpg
CAR NEEDED,"['PLASTIC', 'METAL']",img_5_1.jpg
FITS IN A WHEELBARROW,['PLASTIC'],img_5_2.jpg
FITS IN A WHEELBARROW,['PLASTIC'],img_5_3.jpg
FITS IN A WHEELBARROW,['PLASTIC'],img_5_4.jpg
FITS IN A WHEELBARROW,"['PLASTIC', 'METAL', 'CONSTRUCTION']",img_5_5.jpg
FITS IN A WHEELBARROW,"['PLASTIC', 'HOUSEHOLD', 'METAL', 'CONSTRUCTION', 'GLASS']",img_5_6.jpg
CAR NEEDED,"['PLASTIC', 'AUTOMOTIVE', 'CONSTRUCTION']",img_5_7.jpg
CAR NEEDED,"['HOUSEHOLD', 'CONSTRUCTION']",img_5_8.jpg
CAR NEEDED,"['PLASTIC', 'HOUSEHOLD', 'METAL', 'GLASS']",img_5_9.jpg
FITS IN A BAG,"['PLASTIC', 'HOUSEHOLD', 'ORGANIC']",img_6_0.jpg
CAR NEEDED,"['PLASTIC', 'HOUSEHOLD', 'AUTOMOTIVE', 'METAL', 'CONSTRUCTION', 'GLASS']",img_6_1.jpg
FITS IN A WHEELBARROW,"['PLASTIC', 'HOUSEHOLD', 'METAL', 'ORGANIC', 'GLASS']",img_6_2.jpg
FITS IN A WHEELBARROW,"['PLASTIC', 'HOUSEHOLD', 'METAL', 'ORGANIC', 'GLASS']",img_6_3.jpg
CAR NEEDED,['ORGANIC'],img_6_4.jpg
CAR NEEDED,['CONSTRUCTION'],img_6_5.jpg
CAR NEEDED,"['PLASTIC', 'HOUSEHOLD', 'METAL', 'CONSTRUCTION', 'GLASS']",img_6_6.jpg
FITS IN A WHEELBARROW,"['PLASTIC', 'HOUSEHOLD', 'CONSTRUCTION', 'GLASS']",img_6_7.jpg
CAR NEEDED,"['HOUSEHOLD', 'CONSTRUCTION']",img_6_8.jpg
CAR NEEDED,['AUTOMOTIVE'],img_6_9.jpg
CAR NEEDED,['AUTOMOTIVE'],img_7_0.jpg
FITS IN A BAG,['HOUSEHOLD'],img_7_1.jpg
FITS IN A BAG,"['PLASTIC', 'HOUSEHOLD']",img_7_2.jpg
FITS IN A WHEELBARROW,"['HOUSEHOLD', 'METAL']",img_7_3.jpg
CAR NEEDED,['CONSTRUCTION'],img_7_4.jpg
CAR NEEDED,['CONSTRUCTION'],img_7_5.jpg
CAR NEEDED,['CONSTRUCTION'],img_7_6.jpg
CAR NEEDED,['CONSTRUCTION'],img_7_7.jpg
CAR NEEDED,['CONSTRUCTION'],img_7_8.jpg
CAR NEEDED,['CONSTRUCTION'],img_7_9.jpg
CAR NEEDED,['CONSTRUCTION'],img_8_0.jpg
CAR NEEDED,['CONSTRUCTION'],img_8_1.jpg
CAR NEEDED,['CONSTRUCTION'],img_8_2.jpg
FITS IN A WHEELBARROW,['CONSTRUCTION'],img_8_3.jpg
CAR NEEDED,['HOUSEHOLD'],img_8_4.jpg
FITS IN A WHEELBARROW,"['HOUSEHOLD', 'ELECTRONIC']",img_8_5.jpg
CAR NEEDED,"['PLASTIC', 'HOUSEHOLD', 'DANGEROUS', 'METAL', 'ELECTRONIC', 'CONSTRUCTION']",img_8_6.jpg
FITS IN A BAG,['HOUSEHOLD'],img_8_7.jpg
FITS IN A BAG,['HOUSEHOLD'],img_8_8.jpg
FITS IN A WHEELBARROW,['HOUSEHOLD'],img_8_9.jpg
CAR NEEDED,"['PLASTIC', 'HOUSEHOLD', 'METAL', 'GLASS']",img_9_0.jpg
FITS IN A BAG,"['PLASTIC', 'HOUSEHOLD', 'GLASS']",img_9_1.jpg
CAR NEEDED,"['PLASTIC', 'HOUSEHOLD', 'METAL', 'GLASS']",img_9_2.jpg
CAR NEEDED,['CONSTRUCTION'],img_9_3.jpg
FITS IN A WHEELBARROW,"['PLASTIC', 'HOUSEHOLD', 'METAL']",img_9_4.jpg
FITS IN A WHEELBARROW,['PLASTIC'],img_9_5.jpg
CAR NEEDED,"['HOUSEHOLD', 'CONSTRUCTION']",img_9_6.jpg
FITS IN A WHEELBARROW,"['PLASTIC', 'HOUSEHOLD']",img_9_7.jpg
FITS IN A WHEELBARROW,"['PLASTIC', 'HOUSEHOLD']",img_9_8.jpg
CAR NEEDED,['CONSTRUCTION'],img_9_9.jpg
FITS IN A BAG,['HOUSEHOLD'],img_10_0.jpg
